Gene1 = (Gene1) | (Gene10) | (Gene52) | (Gene59) | (Gene20) | (Gene42) | (!Gene5) | (Gene30) | (Gene62) | (Gene40)
Gene41 = (Gene56) | (Gene10) | (Gene40) | (Gene22) | (!Gene25) | (Gene6) | (Gene9) | (!Gene12) | (Gene50) | (Gene20)
Gene42 = (Gene9) & (Gene48) & (Gene42) & (!Gene2) & (Gene30) & (Gene7) & (Gene8) & (Gene38) & (Gene57) & (Gene49)
Gene43 = (Gene43) | (Gene22) | (Gene27) | (Gene40) | (Gene49) | (Gene9) | (Gene50) | (Gene2) | (Gene56) | (Gene6)
Gene44 = (Gene55) | (Gene18) | (Gene9) | (Gene6) | (Gene42) | (Gene22) | (Gene40) | (Gene38) | (Gene57) | (Gene10)
Gene45 = (Gene26) | (Gene20) | (Gene22) | (!Gene25) | (Gene58) | (Gene6) | (Gene9) | (!Gene12) | (Gene50) | (Gene24)
Gene46 = (Gene33) | (Gene32) | (!Gene34) | (Gene20) | (Gene39) | (Gene60) | (Gene13) | (Gene6) | (Gene9) | (!Gene12)
Gene47 = (Gene2) | (Gene22) | (Gene40) | (Gene47) | (Gene8) | (Gene56) | (!Gene12) | (Gene6) | (Gene9) | (Gene50)
Gene48 = (Gene11) & (Gene32) & (Gene7) & (!Gene2) & (Gene30) & (Gene34) & (Gene6) & (Gene38) & (Gene13) & (Gene31)
Gene49 = (Gene22) | (Gene27) | (Gene49) | (Gene40) | (Gene6) | (Gene9) | (Gene50) | (Gene57) | (Gene56) | (Gene38)
Gene50 = (Gene32) & (Gene30) & (!Gene12) & (!Gene2) & (Gene55) & (Gene7) & (Gene8) & (Gene36) & (Gene38) & (Gene13)
Gene51 = (Gene51) & (!Gene2) & (Gene61) & (!Gene56) & (!Gene8) & (!Gene52) & (!Gene57) & (!Gene6) & (!Gene9) & (!Gene50)
Gene52 = (Gene52) & (Gene63) & (Gene42) & (Gene14) & (Gene30) & (!Gene2) & (Gene40) & (Gene38) & (Gene57) & (Gene49)
Gene53 = (Gene53) & (!Gene22) & (Gene61) & (!Gene56) & (!Gene42) & (Gene5) & (!Gene20) & (!Gene27) & (!Gene40) & (Gene31)
Gene54 = (Gene1) & (!Gene14) & (Gene5) & (!Gene18) & (!Gene30) & (!Gene2) & (!Gene40) & (!Gene9) & (!Gene57) & (!Gene49)
Gene55 = (Gene6) & (Gene7) & (!Gene12) & (!Gene2) & (Gene55) & (Gene31) & (Gene8) & (Gene36) & (Gene38) & (Gene13)
Gene56 = (Gene9) & (Gene10) & (Gene42) & (!Gene2) & (Gene55) & (Gene7) & (Gene8) & (Gene36) & (Gene38) & (Gene57)
Gene57 = (Gene22) | (Gene27) | (Gene40) | (Gene57) | (Gene6) | (Gene9) | (Gene50) | (Gene2) | (Gene56) | (Gene38)
Gene58 = (Gene42) & (Gene14) & (Gene63) & (!Gene2) & (Gene55) & (Gene7) & (Gene8) & (Gene36) & (Gene38) & (Gene6)
Gene59 = (!Gene2) & (Gene25) & (Gene35) & (Gene8) & (Gene39) & (Gene26) & (Gene31) & (Gene60) & (Gene45) & (Gene46)
Gene60 = (Gene20) | (Gene22) | (!Gene25) | (Gene60) | (Gene40) | (Gene6) | (Gene9) | (!Gene12) | (Gene50) | (Gene56)
Gene61 = (Gene56) | (Gene20) | (Gene61) | (Gene22) | (Gene8) | (Gene36) | (!Gene12) | (Gene6) | (Gene9) | (Gene50)
Gene62 = (Gene39) & (!Gene2) & (Gene30) & (Gene11) & (Gene45) & (Gene7) & (Gene46) & (!Gene12) & (Gene13) & (Gene31)
Gene63 = (Gene1) | (Gene6) | (!Gene12) | (Gene50) | (Gene9) | (Gene56) | (!Gene8) | (!Gene5) | (Gene38) | (Gene10)
Gene64 = (!Gene25) & (Gene64) & (Gene20) & (Gene48) & (Gene42) & (!Gene5) & (Gene30) & (!Gene2) & (Gene6) & (Gene38)
